sensor_1,sensor_2,sensor_3,sensor_4,scenario,mean,peak,p2p,rms,std,variance,crest_factor,shape_factor,clearance_factor,np4,skew,kurt,session_id,raw_scenario,state,window_id,rel_diff_fl_rl_mean,rel_diff_fl_rl_std,rel_diff_fl_rl_p2p,rel_diff_fr_rr_mean,rel_diff_fr_rr_std,rel_diff_fr_rr_p2p,rel_diff_fl_fr_std,rel_diff_rl_rr_std,norm_rolling_var_mean,norm_rolling_var_max,norm_p2p,norm_rms,norm_std,norm_fft_peak_freq,log_norm_fft_spectral_energy,fft_spectral_entropy,norm_fft_spectral_centroid,fft_energy_low_band,fft_energy_mid_band,fft_energy_high_band,speed_kph,grade_pct,audio_stft_band_1,audio_stft_band_2,audio_stft_band_3,audio_stft_band_4,audio_stft_band_5,audio_stft_band_6,audio_stft_band_7,audio_stft_band_8,audio_stft_band_9,audio_stft_band_10,audio_stft_band_11,audio_stft_band_12,audio_stft_band_13,audio_stft_band_14,audio_stft_band_15,audio_stft_band_16,audio_stft_band_17,audio_stft_band_18,audio_stft_band_19,audio_stft_band_20,audio_valid
1,0,0,0,0,49.6659375,72.3125,53.96875,52.173537709353916,15.98038451838593,255.37268935546874,1.3859995540811387,1.0504893360636536,10.260866978213135,1.306648155457803,-0.37602693964108636,-1.121125196722839,abnormal_high speed 80kph,high speed 80kph,abnormal,win0,0.031493101218449435,0.009312895909927205,0.044043617172828474,0.026954693709771025,0.007706215925192712,0.03638385766451047,0.0024305910764469284,0.0050772636599172504,0.0011259445094526001,0.002008576641901146,1.1023670559054315,1.065698004138163,0.32641573936342483,0.01389541936713139,6.295671561241853,0.39489611198859836,0.002670835243640103,0.003729852315099387,4.109634489877404e-05,0.0,80.0,0.0,0.05557254,0.009269982,0.006359543,0.004528103,0.0023176104,0.0045702485,0.002850801,0.0008874298,0.0011139015,0.004026657,0.009394594,0.005791597,0.003334271,0.0023584396,0.00062746473,0.00045979107,0.00063431443,0.0006972407,0.00067624287,0.000633752,True
1,0,0,0,0,75.9741875,78.09375,6.03125,75.98136802604554,1.044567290421613,1.0911208242187502,1.0278013153597123,1.0000945127059837,8.959489104875866,1.0007403816169074,-1.5060786460285038,3.080498488867473,abnormal_high speed 80kph,high speed 80kph,abnormal,win1,0.023883313136631605,0.004690871585674334,0.027895230112166474,0.02109379012541496,0.004820049102136165,0.0428837119634798,0.005340102089330814,0.007536118086774521,2.4948471414753824e-05,0.00010529646541730915,0.08035491659176312,1.0123069828411932,0.013916869222186566,0.018126872519614097,6.240927547264338,0.0016654311813871186,8.533400295917708e-06,9.705407596738038e-06,0.0,0.0,80.0,0.0,0.081401825,0.01666365,0.009973245,0.0065191803,0.004008184,0.006428555,0.004732354,0.0019617104,0.0016096003,0.0030971167,0.0061510107,0.004041275,0.0025194737,0.0018080979,0.00084898155,0.00067669566,0.00071530737,0.00073193153,0.0006954729,0.0006639,True
1,0,0,0,0,76.854125,77.53125,1.21875,76.85439937391352,0.20536214201989617,0.042173609375,1.0088069210299002,1.0000035700609893,8.843887201059813,1.0000285524151242,-0.10240209379292105,-0.058974823025023326,abnormal_high speed 80kph,high speed 80kph,abnormal,win2,0.02194207429900987,0.004465450678332069,0.025680684987703633,0.02777821706476381,0.0036840443776132085,0.020710229828793253,0.004488437745704236,0.004229399792194847,5.674391428700289e-06,8.195958105571675e-06,0.016153979266458736,1.0186702556080725,0.002721982181993811,1.036932516328465,6.253526515962832,7.352853987035143e-05,3.1068284866660697e-06,2.6925698295788005e-06,0.0,0.0,80.0,0.0,0.08097118,0.016714748,0.012688558,0.01215616,0.005475056,0.0075505273,0.0060726115,0.0029918726,0.0020821285,0.001948686,0.0022232633,0.001599634,0.0012250054,0.00093007047,0.00072149344,0.0007099668,0.00060012256,0.00057477277,0.00054232153,0.00061998406,True
1,0,0,0,0,76.4324375,77.46875,1.8125,76.43325564411982,0.3536469538519313,0.12506616796875,1.0135476939606174,1.0000107041479585,8.861101138556219,1.0000857144806001,0.21186930635026308,-0.7742700503932616,abnormal_high speed 80kph,high speed 80kph,abnormal,win3,0.022201141630454693,0.004242957785078886,0.0240334878973902,0.022348657521686948,0.005891550391348709,0.042265789060927594,0.006451501092647751,0.010665692663901738,5.216289054804467e-06,7.349503994630366e-06,0.0240334878973902,1.0134939169550814,0.004689307467778924,0.009020415621934952,6.243350255066011,0.00020608997962643627,2.991665965297677e-06,2.5156243091198442e-06,0.0,0.0,80.0,0.0,0.09463261,0.018231642,0.0095255375,0.010639179,0.0058624125,0.0054036756,0.003973851,0.0024686928,0.0018712095,0.0015188563,0.0013745149,0.0009968221,0.0008302944,0.00068502757,0.0005979167,0.00058924075,0.0004921116,0.00046792906,0.00046013636,0.0004932009,True
1,0,0,0,0,76.0809375,76.53125,0.875,76.08112322085469,0.16810612115193782,0.028259667968749996,1.0059164055430496,1.0000024410957697,8.774065638980067,1.0000195289616864,0.007686453041726529,-0.7116305314734404,abnormal_high speed 80kph,high speed 80kph,abnormal,win4,0.023038765552276453,0.004119478441997924,0.019912502638095464,0.01852775401713791,0.004022824803394898,0.018253127418254175,0.002905384880316441,0.003634906397283799,4.2105705420418155e-06,5.425549298210265e-06,0.01161562653888902,1.0099770445630234,0.002231609053945305,1.029502011059322,6.236419896428545,4.900955396453226e-05,2.1969758859931707e-06,2.029636449253925e-06,0.0,0.0,80.0,0.0,0.09585746,0.021585474,0.009670758,0.009698638,0.0064017517,0.0052469643,0.0033721647,0.0022258726,0.0016990834,0.0013264302,0.0011398615,0.0009177027,0.00078863645,0.0006692096,0.0005776716,0.0005402235,0.00051006285,0.000472418,0.00045831272,0.00046540867,True
1,0,0,0,0,76.674375,77.3125,1.4375,76.67486046001324,0.27284596730573096,0.07444492187500001,1.0083161486849956,1.0000063314505432,8.829265870741228,1.000050536424216,-0.634658296956609,0.07695348064338559,abnormal_high speed 80kph,high speed 80kph,abnormal,win5,0.02203612355998056,0.004256693027906098,0.02445234700091881,0.025606995115233382,0.00486829548165461,0.023623453882243593,0.0054496980518085715,0.007954465849417652,5.0818836880564265e-06,7.059170189190217e-06,0.01906454172952992,1.0168842273709955,0.0036185623161280444,0.009022071768891303,6.250020858818369,0.0001274341282165472,2.9134398625933338e-06,2.4576696635407623e-06,0.0,0.0,80.0,0.0,0.09971696,0.021380212,0.013474529,0.009488297,0.0074225613,0.005791337,0.0038918853,0.0027926522,0.0021461316,0.0017719343,0.0013226364,0.0010787133,0.0009202605,0.0007966968,0.0007012016,0.00059440575,0.0005725326,0.00053897704,0.0005034492,0.000492523,True
1,0,0,0,1,19.838875,21.46875,7.1875,19.88797178887279,1.396588919251116,1.950460609375,1.0794841338226178,1.0024747768647562,4.820013317919989,1.0170035232648456,-2.001331962875621,3.8030998034803893,abnormal_hills 6 degrees,hills 6 degrees,abnormal,win0,0.02428293313507949,0.010275069539324163,0.13212819261908992,0.02001980904069488,0.010265537710620939,0.08596292049916694,0.006676005587472599,0.008442866391376161,0.000301839918298827,0.002786494032959287,0.36613836508904435,1.0131129705342499,0.07114362206554144,0.034654154279642295,6.2401474812834,0.03153815372190611,0.0004700635400742457,0.0007417297062772234,2.7405523762201852e-05,0.0,0.0,6.0,0.044660095,0.014702834,0.015868628,0.006061475,0.003331612,0.0056297486,0.0024635135,0.00092544465,0.0009967311,0.0036393616,0.010016502,0.0066003376,0.0029518453,0.0014848927,0.00037377697,0.0005842947,0.00086326496,0.0011798433,0.0010684899,0.000988833,True
1,0,0,0,1,20.2561875,23.09375,4.0,20.28785461604738,1.1330987983043448,1.2839128867187501,1.1383041941622156,1.0015633305155465,5.131160577008258,1.0131979374738669,1.067694795485092,-0.2947050689882955,abnormal_hills 6 degrees,hills 6 degrees,abnormal,win1,0.024252807246066453,0.009405752511330833,0.0935558978246102,0.019397256148969182,0.00933665153282561,0.07016692336845765,0.00558610106244951,0.008184745027220327,8.379166014411029e-05,0.0002886071464396605,0.19958591535916842,1.0122925085543868,0.05653764021298661,0.033943593561791746,6.239436257572125,0.019639086591655686,0.0001865360789941268,0.0002386789814368086,9.368908433393848e-06,0.0,0.0,6.0,0.04958784,0.015320907,0.017614573,0.0068695387,0.0037046361,0.0059478194,0.0025679197,0.0010626118,0.0010666373,0.0027888305,0.009015281,0.006422089,0.0026215257,0.00131677,0.00042370663,0.0005618297,0.0008819909,0.0012896438,0.0011388398,0.0010369787,True
1,0,0,0,1,19.4556875,22.0625,12.5,19.61192513298669,2.470593314209918,6.103831324218748,1.124953305215892,1.008030434955675,5.0018588473139465,1.04624948158085,-2.2612331556990113,4.818003955718094,abnormal_hills 12 degrees,hills 12 degrees,abnormal,win0,0.025127457480007373,0.013251611288147521,0.13688109133077947,0.02148381319172615,0.01444602011703895,0.17924904817125883,0.009080132332173538,0.012550961140681514,0.0013350920348206958,0.010247696469428538,0.6518147206227594,1.0226673201145755,0.1288295272699356,0.03547333994925619,6.253397033088681,0.09141864760757701,0.001657317965579,0.003691340411464402,8.250742145184487e-05,0.0,0.0,12.0,0.21453199,0.0006595546,0.00037718797,0.0002669191,0.0002080457,0.0001715403,0.00014689026,0.0001292783,0.00011622037,0.00010687361,0.00010003792,9.450835e-05,9.001952e-05,8.638689e-05,8.34702e-05,8.117148e-05,7.94147e-05,7.814788e-05,7.733392e-05,7.694982e-05,True
1,0,0,0,1,19.9659375,21.90625,2.96875,19.973457142777637,0.548023704294577,0.30032998046875,1.0967680679116314,1.0003766235759095,4.90256303112509,1.0030398315170037,0.36383509822562876,-0.6563230485761964,abnormal_hills 12 degrees,hills 12 degrees,abnormal,win1,0.02252472133202991,0.013001579192205917,0.09481431737910725,0.017989436484062617,0.013335991671068461,0.11061670360895846,0.007988117962019634,0.010256953859105971,0.00011989020223045807,0.00030369519194225277,0.1501226691835865,1.0100105091697684,0.02771226316280536,0.03440016876957028,6.2361134687335875,0.005585731037156978,0.00010389787220265386,6.731010528812726e-05,1.1811653792359793e-05,0.0,0.0,12.0,0.21434963,0.0005268419,0.00030155104,0.00021351664,0.00016639715,0.00013723096,0.00011752172,0.00010343169,9.298238e-05,8.550009e-05,8.003046e-05,7.560454e-05,7.2014525e-05,6.910856e-05,6.67765e-05,6.493761e-05,6.3532505e-05,6.251885e-05,6.186787e-05,6.1560575e-05,True
1,0,0,0,1,19.47975,20.25,3.1875,19.49090833728639,0.659429867385456,0.43484775000000003,1.03894593569359,1.0005728172736503,4.588104892317401,1.0043339941781144,-1.5782260171121443,1.7923266420033235,abnormal_hills 12 degrees,hills 12 degrees,abnormal,win2,0.019979961245659,0.010327286570445836,0.09852689054043647,0.015870905351644735,0.010299286873405408,0.07752935649083526,0.0075531813374535225,0.010899193186461802,6.722582836541223e-05,0.00038482105825382796,0.16474988254302492,1.007411720541113,0.034083448846154156,0.035161131929189814,6.230775284152004,0.008248119517721288,0.00012579101801738605,0.00012975850870768513,1.1945099992819007e-05,0.0,0.0,12.0,0.21510306,0.0010528284,0.0006035278,0.00042722505,0.0003329102,0.00027442593,0.0002350201,0.000206857,0.00018595577,0.00017098822,0.00016005994,0.0001512154,0.0001440321,0.00013821633,0.00013355115,0.00012987398,0.00012706361,0.0001250361,0.000123733,0.00012311834,True
