state,scenario,channel,filename,sample_rate,orig_duration_sec,trim_offset_sec,aligned_duration_sec,can_duration_sec,dur_diff_sec,status,saved_path
normal,high_speed_80kph,OBD,record_80-obd-2.wav,44100,65.189,0.0,65.189,65.26,-0.071,COPIED (100% Intact),/mnt/c/Users/kante/Documents/KWU/etrl_task/experiments/gearbox_final_suite/data/audio_aligned/normal/high_speed_80kph/record_80-obd-2.wav
normal,hills_12deg,GEAR,record_up_12-gear-1.wav,44100,25.134,0.0,25.134,26.28,-1.146,COPIED (100% Intact),/mnt/c/Users/kante/Documents/KWU/etrl_task/experiments/gearbox_final_suite/data/audio_aligned/normal/hills_12deg/record_up_12-gear-1.wav
normal,hills_12deg,OBD,record_up_12-obd-2.wav,44100,25.134,0.0,25.134,26.28,-1.146,COPIED (100% Intact),/mnt/c/Users/kante/Documents/KWU/etrl_task/experiments/gearbox_final_suite/data/audio_aligned/normal/hills_12deg/record_up_12-obd-2.wav
normal,hills_18deg,GEAR,record_up_18-gear-1.wav,44100,29.34,0.0,29.34,31.78,-2.44,COPIED (100% Intact),/mnt/c/Users/kante/Documents/KWU/etrl_task/experiments/gearbox_final_suite/data/audio_aligned/normal/hills_18deg/record_up_18-gear-1.wav
normal,hills_18deg,OBD,record_up_18-obd-2.wav,44100,29.34,0.0,29.34,31.78,-2.44,COPIED (100% Intact),/mnt/c/Users/kante/Documents/KWU/etrl_task/experiments/gearbox_final_suite/data/audio_aligned/normal/hills_18deg/record_up_18-obd-2.wav
normal,hills_30deg,GEAR,record_up_30-gear-1.wav,44100,29.14,0.0,29.14,29.98,-0.84,COPIED (100% Intact),/mnt/c/Users/kante/Documents/KWU/etrl_task/experiments/gearbox_final_suite/data/audio_aligned/normal/hills_30deg/record_up_30-gear-1.wav
normal,hills_30deg,OBD,record_up_30-obd-2.wav,44100,29.14,0.0,29.14,29.98,-0.84,COPIED (100% Intact),/mnt/c/Users/kante/Documents/KWU/etrl_task/experiments/gearbox_final_suite/data/audio_aligned/normal/hills_30deg/record_up_30-obd-2.wav
normal,hills_6deg,GEAR,record_up_6-gear-1.wav,44100,25.635,0.0,25.635,25.42,0.215,COPIED (100% Intact),/mnt/c/Users/kante/Documents/KWU/etrl_task/experiments/gearbox_final_suite/data/audio_aligned/normal/hills_6deg/record_up_6-gear-1.wav
normal,hills_6deg,OBD,record_up_6-obd-2.wav,44100,25.635,0.0,25.635,25.42,0.215,COPIED (100% Intact),/mnt/c/Users/kante/Documents/KWU/etrl_task/experiments/gearbox_final_suite/data/audio_aligned/normal/hills_6deg/record_up_6-obd-2.wav
normal,steering_pad_40kph,GEAR,record_circle-gear-1.wav,44100,60.482,0.0,60.482,61.9,-1.418,COPIED (100% Intact),/mnt/c/Users/kante/Documents/KWU/etrl_task/experiments/gearbox_final_suite/data/audio_aligned/normal/steering_pad_40kph/record_circle-gear-1.wav
normal,steering_pad_40kph,OBD,record_circle-obd-2.wav,44100,60.482,0.0,60.482,61.9,-1.418,COPIED (100% Intact),/mnt/c/Users/kante/Documents/KWU/etrl_task/experiments/gearbox_final_suite/data/audio_aligned/normal/steering_pad_40kph/record_circle-obd-2.wav
