state,target,scenario,speed_kph,grade_pct,window_idx,slip_ratio_fl,slip_ratio_fr,slip_ratio_rl,slip_ratio_rr,slip_diff_front_rear,norm_yaw_rate,norm_lat_accel,mean,std,p2p,rms,variance,peak,crest_factor,shape_factor,skew,kurt,diff_fl_rl_mean,diff_fl_rl_std,diff_fl_rl_p2p,diff_fr_rr_mean,diff_fr_rr_std,diff_fr_rr_p2p,diff_fl_fr_std,diff_rl_rr_std,lat_accel_mean,lat_accel_std,yaw_rate_mean,yaw_rate_std,sas_angle_mean,sas_angle_std,sas_angle_p2p,sas_speed_mean,accel_pedal_mean,accel_pedal_max,brake_pedal_mean,brake_pedal_max
abnormal,1,high_speed_20kph,20.0,0.0,0,0.601378125,0.604659375,0.58366875,0.5912531249999999,0.3111562499999998,0.131883,0.32824000000000003,11.904796875,1.6407349182672637,5.875,12.01732914199454,2.6920110720214843,14.90625,1.240396146554228,1.009452597866517,0.043355158750346845,-1.2273991579697112,0.3541875,0.07404630624649686,0.3125,0.268125,0.09114934517043992,0.53125,0.053271855843400086,0.06971400841115077,0.32824000000000003,0.08848786583481374,2.63766,0.14843020043104435,19.387,3.1472672272941806,9.799999999999999,5.08,72.022,84.0,0.0,0.0
abnormal,1,high_speed_20kph,20.0,0.0,1,0.8570125000000001,0.8593249999999999,0.833475,0.8413375000000001,0.41525000000000034,0.12312100000000001,0.23923999999999998,16.95575,1.2781559226088186,4.96875,17.003856639744996,1.6336825625000002,19.3125,1.1357716824715562,1.0028371282254025,-0.07555124805111485,-1.1219408591054174,0.47075,0.08059776671843953,0.34375,0.35975,0.09271225647129942,0.4375,0.07706531320899176,0.0943262291200067,0.23923999999999998,0.14331302243690208,2.4624200000000003,0.24297066407284648,7.4392000000000005,3.8928631314239652,15.4,8.408,68.956,73.0,0.0,0.0
abnormal,1,high_speed_20kph,20.0,0.0,2,0.9957375,0.9982843750000001,0.974,0.9813968750000001,0.3862499999999969,0.09992999999999999,0.18048000000000003,19.74709375,0.34951466210080157,2.0,19.75018663380963,0.1221604990234375,20.65625,1.0458761396595198,1.0001565741112184,-0.5352926563102524,0.24299882637679282,0.43475,0.20354345359161027,1.84375,0.33775,0.1693713560493627,1.0,0.20435946997570237,0.12505953269843126,0.18048000000000003,0.22527265613029912,1.9986,0.33386110884617876,-5.2932,2.1597392805614293,8.5,4.112,21.79,63.0,0.0,0.0
abnormal,1,high_speed_20kph,20.0,0.0,3,0.9858750000000001,0.9878500000000001,0.965009375,0.9702031249999999,0.38512500000000216,0.083441,0.14906,19.5446875,0.25097291157363977,1.3125,19.54629880245874,0.06298740234375001,20.15625,1.0312054047930101,1.0000823907968008,0.0967829548737019,-0.7707740071144502,0.4173125,0.1709711575639295,1.0625,0.3529375,0.14787414148102432,0.6875,0.18671268034067745,0.09504842515791621,0.14906,0.09593600158438959,1.66882,0.20266229940469932,-11.101399999999998,0.955498843536715,2.1999999999999993,0.672,4.912,12.0,0.0,0.0
abnormal,1,high_speed_20kph,20.0,0.0,4,0.96029375,0.9603999999999999,0.938784375,0.9425968749999999,0.3931250000000013,0.061002,0.07740000000000001,19.010375,0.2537276314032431,1.125,19.012068150297655,0.0643777109375,19.625,1.0322390395730676,1.000089011932097,0.3129166733398672,-0.6983281499650755,0.4301875,0.14669285248010552,0.6875,0.3560625,0.1505418728086973,0.9375,0.1665697582846298,0.09987492177719089,0.07740000000000001,0.15702241878152304,1.22004,0.4844262569266864,-19.0992,6.928032863663393,15.799999999999999,10.128,7.784,15.0,0.0,0.0
abnormal,1,high_speed_20kph,20.0,0.0,5,0.9638562500000001,0.961140625,0.9420343750000001,0.9438281249999999,0.39134375000000077,0.035178999999999995,0.06906,19.054296875,0.23177430796786858,0.96875,19.055706461070102,0.05371932983398439,19.5625,1.0265953148139606,1.0000739248477872,0.014009912556287455,-1.1200395055545063,0.4364375,0.09319022464158995,0.4375,0.34625,0.08381527307120104,0.375,0.08927527215724408,0.08879673065490643,0.06906,0.08207384723527952,0.7035799999999999,0.09940716070786852,-27.3582,0.1839368369848732,0.7999999999999972,0.112,17.58,22.0,0.0,0.0
abnormal,1,high_speed_20kph,20.0,0.0,6,0.976615625,0.975259375,0.9555843749999999,0.9570812500000001,0.3920937500000008,0.04616000000000001,0.1508,19.322703125,0.2080224450545767,0.78125,19.32382284628306,0.04327333764648438,19.6875,1.018820092576392,1.000057896724797,-0.055933511167979254,-1.566432079663856,0.420625,0.0832940011345355,0.4375,0.3635625,0.07350093005363946,0.3125,0.08668468362404053,0.09589339377011329,0.1508,0.10380635818677005,0.9232000000000001,0.3516136516121067,-21.2148,4.580631065693896,14.3,8.232,13.842,15.0,0.0,0.0
abnormal,1,high_speed_20kph,20.0,0.0,7,0.97869375,0.97915,0.95711875,0.962246875,0.38478124999999963,0.076184,0.19024000000000002,19.386046875,0.20814831361071456,0.8125,19.38716428878025,0.04332572045898438,19.78125,1.0203270929684503,1.0000575885186835,-0.09629305268507216,-1.3969785573258107,0.4315,0.07900217560295412,0.28125,0.3380625,0.11220828498266071,0.71875,0.10450186900242503,0.08751381587355223,0.19024000000000002,0.09520053781360692,1.5236800000000001,0.1324977645094437,-13.5242,1.5667145113261702,6.0,3.416,10.728,12.0,0.0,0.0
abnormal,1,high_speed_20kph,20.0,0.0,8,0.974821875,0.974815625,0.953803125,0.957571875,0.3826250000000009,0.063876,0.20018,19.3050625,0.20633605212431977,0.9375,19.306165147312722,0.04257456640625,19.84375,1.0278451893858846,1.0000570652001597,0.00033447090273655626,-1.335184537343684,0.420375,0.09179043727426077,0.40625,0.344875,0.10609687495397781,0.625,0.10104910625532519,0.07855044159646717,0.20018,0.07270053369817858,1.27752,0.1457225088996206,-16.644,2.694398634203929,6.6,3.696,8.344,10.0,0.0,0.0
abnormal,1,high_speed_20kph,20.0,0.0,9,0.9665593749999999,0.967765625,0.945759375,0.950390625,0.3817499999999967,0.07701,0.20126000000000005,19.152375,0.21542931337796167,0.9375,19.15358655525611,0.04640978906250001,19.625,1.0246122269984104,1.0000632065314563,0.03523855795119662,-1.17085586247903,0.416,0.09782126558167197,0.4375,0.3475,0.11518327786619029,0.59375,0.11558283014790735,0.08179327982786849,0.20126000000000005,0.0795777129603509,1.5402,0.10630503280654213,-13.6646,2.0633290673084597,7.6,4.184,6.208,7.0,0.0,0.0
abnormal,1,high_speed_20kph,20.0,0.0,10,0.953478125,0.9528531250000001,0.932984375,0.936021875,0.3732500000000023,0.060127999999999994,0.15630000000000002,18.8766875,0.2155074045276635,0.90625,18.877917639773262,0.04644344140625,19.3125,1.0230206183488433,1.0000651141630728,0.041754907780898055,-1.0423905756858534,0.409875,0.10867878415311794,0.5,0.336625,0.1051227704876541,0.46875,0.12355413793151568,0.08772773934167004,0.15630000000000002,0.08788691597729437,1.2025599999999999,0.22883235435575977,-17.5308,2.9444271700960782,6.6,4.216,5.0,5.0,0.0,0.0
abnormal,1,high_speed_20kph,20.0,0.0,11,0.93965625,0.9404562500000001,0.919278125,0.9236812499999999,0.3715312500000003,0.075888,0.16756000000000001,18.615359375,0.22124542666089025,1.09375,18.616674090696726,0.048949538818359374,19.1875,1.030662022435388,1.0000705715962657,0.004161844849857661,-0.8679877939266167,0.4075625,0.10473290060315335,0.46875,0.3355,0.10860579519528411,0.625,0.10844180466960149,0.08597371964007373,0.16756000000000001,0.07358835777485459,1.51776,0.11708707187388366,-13.401599999999998,0.6260330981665426,1.5999999999999996,1.256,5.532,7.0,0.0,0.0
abnormal,1,high_speed_20kph,20.0,0.0,12,0.922303125,0.9240125000000001,0.902565625,0.9080187499999999,0.3573125000000026,0.08738199999999999,0.20336,18.2845,0.22747163284682334,1.25,18.285914896273304,0.05174334375,19.0,1.0390510438622451,1.0000773275832522,0.18020838331185093,-0.47470797146618926,0.39475,0.0855164457867608,0.375,0.319875,0.11555024610531991,0.625,0.12255883472336868,0.08166899178237723,0.20336,0.08665512333382255,1.7476399999999999,0.19556796874744084,-9.6262,1.4830824521920556,5.100000000000001,2.52,4.574,7.0,0.0,0.0
abnormal,1,high_speed_20kph,20.0,0.0,13,0.9151781250000001,0.916690625,0.89496875,0.89996875,0.36931250000000304,0.084826,0.17426,18.13403125,0.1977324556653194,0.8125,18.135109249739852,0.03909812402343751,18.53125,1.0218438015983846,1.0000593910788844,-0.03949721534375748,-1.395870705872994,0.4041875,0.07369730638734363,0.34375,0.3344375,0.0883949544303859,0.40625,0.09891489397456785,0.07927897735213289,0.17426,0.06981154918779556,1.69652,0.11877158582758757,-10.961200000000003,1.163879100250537,3.299999999999999,0.872,9.354,12.0,0.0,0.0
abnormal,1,high_speed_20kph,20.0,0.0,14,0.9175156250000001,0.919040625,0.897521875,0.90294375,0.36090625000000287,0.088696,0.21116,18.185109375,0.195597661203705,0.78125,18.18616126140372,0.03825844506835937,18.5625,1.0206936314097987,1.000057788288443,-0.08042040565838819,-1.4050983865748208,0.399875,0.08833521027880105,0.375,0.3219375,0.09019724479578076,0.375,0.0971237934287989,0.07254510988860655,0.21116,0.08067623193977269,1.77392,0.1791664968681366,-8.683399999999997,1.89493652664146,5.1,3.232,11.496,12.0,0.0,0.0
abnormal,1,high_speed_20kph,20.0,0.0,15,0.92499375,0.925603125,0.904725,0.908759375,0.37112499999999926,0.08027499999999999,0.17224,18.32040625,0.19919513585536544,0.8125,18.321489127993594,0.039678702148437495,18.65625,1.0182714326000657,1.0000590531628926,-0.11555234169046798,-1.3717902965960775,0.405375,0.09353734214205575,0.4375,0.336875,0.07803494810019419,0.34375,0.07772334249599666,0.08384833313042067,0.17224,0.09420287893689873,1.6054999999999997,0.16977853221182,-12.257600000000002,1.1712566926169516,4.1,2.28,12.0,12.0,0.0,0.0
abnormal,1,high_speed_20kph,20.0,0.0,16,0.9276687499999999,0.928403125,0.906671875,0.911821875,0.3757812499999993,0.077144,0.17120000000000002,18.372828125,0.20026513127035958,0.75,18.373919544658776,0.04010612280273436,18.75,1.0204681115512142,1.0000593495781926,-0.12123408439519115,-1.5014552342275655,0.4199375,0.08813472907288024,0.4375,0.331625,0.08464918413664718,0.375,0.08565635830894283,0.08961933385157468,0.17120000000000002,0.07094899576456315,1.54288,0.13029545502434076,-12.826199999999998,0.39589589540686065,1.0,0.224,11.48,15.0,0.0,0.0
