,t_0,t_1,t_2,t_3,t_4
speed_kph,20.0,20.0,20.0,20.0,20.0
grade_pct,6.0,6.0,6.0,6.0,6.0
slip_ratio_fl,1.015746875,0.990346875,0.977953125,0.96781875,0.968159375
slip_ratio_fr,1.01569375,0.990446875,0.97846875,0.96859375,0.969034375
slip_ratio_rl,0.99205625,0.966121875,0.954575,0.94465625,0.94533125
slip_ratio_rr,0.99616875,0.971609375,0.959703125,0.949959375,0.950978125
slip_diff_front_rear,0.4321562499999984,0.4306249999999991,0.4214375000000032,0.41796875,0.4088437500000026
norm_yaw_rate,6.406868,7.331245,7.535985000000001,6.568726000000001,7.521135000000001
norm_lat_accel,-1.2701514285714288,-1.268162857142857,-1.268017142857143,-1.2683657142857143,-1.27004
sensor_1,1.0,0.0,0.0,0.0,0.0
sensor_2,0.0,1.0,1.0,0.0,0.0
sensor_3,0.0,0.0,0.0,1.0,1.0
sensor_4,0.0,0.0,0.0,0.0,0.0
mean,21.239875,20.1601875,21.2604375,19.674,20.800875
peak,25.65625,23.1875,25.78125,22.59375,26.71875
p2p,6.6875,4.0625,7.6875,4.1875,8.25
rms,21.34617189773145,20.181272501148808,21.370332138343684,19.6955625356005,20.909173282168524
std,2.1276194847469787,0.9222796378912146,2.16446136757364,0.9213618147883056,2.125353283133183
variance,4.526764671875,0.8505997304687499,4.68489301171875,0.8489075937499999,4.5171265781250005
crest_factor,1.2019133980049417,1.148961246060181,1.2064038047280523,1.147149260609384,1.2778482266817273
shape_factor,1.0050045914927206,1.0010458732662486,1.0051689735144766,1.001095991440505,1.0052064291607214
clearance_factor,5.566948460030275,5.164242690493968,5.591365360661658,5.093801130334594,5.858350267124175
np4,1.0429562736552254,1.0089278800391837,1.0443846804523167,1.0093444152737785,1.0448912497272769
skew,0.8898474557897312,1.510159274813089,0.8853676349485611,1.4513831538011286,0.9235365321397498
kurt,-0.9266737640749216,1.5575431904725043,-0.9396611988484964,1.4148954138983854,-0.7796896060664094
rel_diff_fl_rl_mean,0.0208495719708138,0.0239672105241597,0.0208495719708138,0.0239672105241597,0.0208495719708138
rel_diff_fl_rl_std,0.0177369825203567,0.0105687505783705,0.0177369825203567,0.0105687505783705,0.0177369825203567
rel_diff_fl_rl_p2p,0.2122358194637225,0.0814891426217019,0.2122358194637225,0.0814891426217019,0.2122358194637225
rel_diff_fr_rr_mean,0.0161150806135461,0.0191123381425822,0.0161150806135461,0.0191123381425822,0.0161150806135461
rel_diff_fr_rr_std,0.0194380404357947,0.0091781149495202,0.0194380404357947,0.0091781149495202,0.0194380404357947
rel_diff_fr_rr_p2p,0.2152041526030753,0.0814891426217019,0.2152041526030753,0.0814891426217019,0.2152041526030753
rel_diff_fl_fr_std,0.0155222138085167,0.0045543851954339,0.0155222138085167,0.0045543851954339,0.0155222138085167
rel_diff_rl_rr_std,0.0120014756279186,0.0096641803519213,0.0120014756279186,0.0096641803519213,0.0120014756279186
norm_rolling_var_mean,0.0003807571576903,8.102314358713846e-05,0.0004743162714313,0.0001306840809332,0.0003536923022802
norm_rolling_var_max,0.0024253264865537,0.0005949758346535,0.0037128714182395,0.0007211450849604,0.0020535124463439
norm_p2p,0.3176116459107456,0.2037228565542548,0.3651049761403898,0.2099912521405395,0.3918199743945647
norm_rms,1.0138007910777107,1.01203359577449,1.0149482413635351,0.9876766181404298,0.9930462715188833
norm_std,0.1010477347921137,0.0462497088918208,0.1027974784994821,0.0462036826655226,0.1009401053305027
norm_fft_peak_freq,0.0323087780331369,0.0341141303027714,0.0323087780331369,0.0341141303027714,0.0323087780331369
log_norm_fft_spectral_energy,6.238996043070525,6.239440705872911,6.241091538826151,6.190764780609749,6.197510165463658
fft_spectral_entropy,0.0553900159696477,0.0149111566813344,0.0571457385521883,0.0157245577868869,0.0575158857958593
norm_fft_spectral_centroid,0.0006910234307431,0.0002084720656219,0.0008553928590461,0.0002988640583855,0.0006693021613217
fft_energy_low_band,0.0005207183725583,0.0003766872601582,0.000537843243718,0.0003928033853468,0.0005715226272965
fft_energy_mid_band,5.178082065086664e-05,1.136553777602521e-05,7.611834660086826e-05,2.422493437664748e-05,3.7221445325649466e-05
fft_energy_high_band,0.0,0.0,0.0,0.0,0.0
