,t_0,t_1,t_2,t_3,t_4
speed_kph,20.0,20.0,20.0,20.0,20.0
grade_pct,30.0,30.0,30.0,30.0,30.0
slip_ratio_fl,0.967596875,0.8204593750000001,0.762946875,0.75298125,0.778934375
slip_ratio_fr,0.96766875,0.819575,0.763740625,0.753553125,0.77909375
slip_ratio_rl,0.94265,0.79421875,0.733771875,0.7339875,0.76143125
slip_ratio_rr,0.948978125,0.797328125,0.73939375,0.7373062499999999,0.766434375
slip_diff_front_rear,0.4363749999999982,0.4848750000000006,0.5352187499999985,0.3524062500000013,0.3016249999999996
norm_yaw_rate,7.1393770000000005,7.284321000000001,7.058476000000001,6.794104000000002,6.573797999999999
norm_lat_accel,-0.2857258064516129,-0.2802096774193549,-0.2776993548387096,-0.2820225806451613,-0.2883954838709677
sensor_1,1.0,0.0,0.0,0.0,0.0
sensor_2,0.0,1.0,1.0,0.0,0.0
sensor_3,0.0,0.0,0.0,1.0,1.0
sensor_4,0.0,0.0,0.0,0.0,0.0
mean,16.184125,17.2105625,16.20975,16.7110625,15.88725
peak,18.125,21.28125,18.25,19.9375,18.03125
p2p,3.5625,6.875,3.84375,6.25,3.46875
rms,16.210922364450767,17.3432382244313,16.2367981228212,16.848144313154343,15.915794165113155
std,0.9317198563007016,2.141133004502231,0.9368127981352518,2.1448442642692616,0.9527808477031852
variance,0.8681018906249999,4.58445054296875,0.8776182187499999,4.600356917968751,0.90779134375
crest_factor,1.118073333060101,1.2270632349396695,1.123990078705801,1.1833647450677174,1.1329155060024492
shape_factor,1.0016557808624664,1.0077089708387683,1.001668632941359,1.008203057893796,1.0017966712371968
clearance_factor,4.505400502948285,5.129790172309479,4.532885096908839,4.877178702329696,4.523779935730983
np4,1.013619548707088,1.0619349744786222,1.0137450027216954,1.065823128826628,1.0148380090334816
skew,0.5806831130818383,0.243280132403277,0.6043506995609945,0.2389897975745024,0.6338961898774931
kurt,-1.1282313293646524,-1.6503463994769658,-1.091345664549846,-1.650643796074256,-1.0918680081438157
rel_diff_fl_rl_mean,0.0184766913232601,0.0286547967747049,0.0184766913232601,0.0286547967747049,0.0184766913232601
rel_diff_fl_rl_std,0.0157917027717012,0.0173588380701079,0.0157917027717012,0.0173588380701079,0.0157917027717012
rel_diff_fl_rl_p2p,0.1322542115770202,0.1324907120330567,0.1322542115770202,0.1324907120330567,0.1322542115770202
rel_diff_fr_rr_mean,0.013738878685001,0.023590707336997,0.013738878685001,0.023590707336997,0.013738878685001
rel_diff_fr_rr_std,0.0178432456399117,0.0159514048045382,0.0178432456399117,0.0159514048045382,0.0178432456399117
rel_diff_fr_rr_p2p,0.1283643818247549,0.1306505632548198,0.1283643818247549,0.1306505632548198,0.1283643818247549
rel_diff_fl_fr_std,0.0115933241869291,0.0091086910989979,0.0115933241869291,0.0091086910989979,0.0115933241869291
rel_diff_rl_rr_std,0.0138968848410259,0.0136955913369832,0.0138968848410259,0.0136955913369832,0.0138968848410259
norm_rolling_var_mean,0.0001594738295234,0.0003964018154759,0.0001555355470546,0.0004762458814997,0.0001888532588538
norm_rolling_var_max,0.0004161709690006,0.0013498770640648,0.0002929866378478,0.0015771338744282,0.0004533321984494
norm_p2p,0.2217202958791221,0.4048327312121177,0.2392245297643159,0.3680297556473798,0.2158855512507241
norm_rms,1.0089236499984566,1.0212524361394797,1.0105340867148045,0.9920989495491174,0.990555674790202
norm_std,0.0579877058850371,0.1260801050328794,0.0583046767118305,0.126298641676912,0.0592984846205504
norm_fft_peak_freq,0.0423388004924527,0.040058148735633,0.0423388004924527,0.040058148735633,0.0423388004924527
log_norm_fft_spectral_energy,6.2326907317031965,6.250949367865121,6.235861438021678,6.192654674599204,6.195877401368999
fft_spectral_entropy,0.0203199143739255,0.0736963506484536,0.0205723303537789,0.0772652009984355,0.0220652009832626
norm_fft_spectral_centroid,0.0003938380377028,0.0007883549126335,0.0003853285653585,0.0008624130108232,0.0003542682541297
fft_energy_low_band,0.0002236502176084,0.0006794242124949,0.0002389757148479,0.000673275286381,0.0002854730096775
fft_energy_mid_band,3.320144792468774e-05,3.982090897269552e-05,3.087733172855015e-05,5.447114478776022e-05,2.4117098900575893e-05
fft_energy_high_band,0.0,0.0,0.0,0.0,0.0
