scenario,state,label,window_index,start_time_sec,end_time_sec,speed_kph,grade_pct,slip_ratio_fl,slip_ratio_fr,slip_ratio_rl,slip_ratio_rr,slip_diff_front_rear,norm_yaw_rate,norm_lat_accel,mean,std,p2p,rms,variance,peak,crest_factor,shape_factor,skew,kurt,diff_fl_rl_mean,diff_fl_rl_std,diff_fl_rl_p2p,diff_fr_rr_mean,diff_fr_rr_std,diff_fr_rr_p2p,diff_fl_fr_std,diff_rl_rr_std,lat_accel_mean,lat_accel_std,yaw_rate_mean,yaw_rate_std,sas_angle_mean,sas_angle_std,sas_angle_p2p,sas_speed_mean,accel_pedal_mean,accel_pedal_max,brake_pedal_mean,brake_pedal_max,dimless_std,dimless_p2p,dimless_diff_fr_rr_std,pedal_slip_response,audio_rms,audio_peak,audio_crest_factor,audio_kurtosis,audio_hilbert_env_mean,audio_hilbert_env_std,audio_hilbert_env_peak,audio_hilbert_env_crest,audio_hilbert_env_kurtosis,audio_shockwave_energy_ratio,audio_shockwave_pulse_count,audio_stft_2k8_db,audio_stft_harmonic_db,audio_spectral_centroid
abnormal_high_speed_20kph,abnormal,1,0,0.0,0.7115,20.0,0.0,0.5298875,0.5326500000000001,0.5138625,0.52076875,0.2790625000000002,0.131062,0.34768,10.48584375,0.7941951206400336,3.03125,10.515876807906343,0.6307458896484375,12.0625,1.1470749489815135,1.0028640570809846,0.0809732878755612,-1.0971935472289454,0.3205,0.0597395388331714,0.21875,0.237625,0.0463426436988655,0.21875,0.0403376375113863,0.057176399195822,0.34768,0.0864836261959453,2.62124,0.1657723209706614,22.2728,0.6877064490027704,3.3999999999999986,3.328,68.456,73.0,0.0,0.0,0.0757397439419249,0.2890802182704658,0.0044195436060036,0.0006769697864155,0.007286,0.033506,4.5988,0.39,0.008871,0.005242,0.036696,4.1369,0.5488,0.2245,183,-64.0,-69.89,5416.8
abnormal_high_speed_20kph,abnormal,1,1,0.7132,1.4232,20.0,0.0,0.67286875,0.6766687499999999,0.653475,0.6617375,0.3432499999999994,0.132704,0.3088,13.32375,0.8523029464339543,3.40625,13.350982524705811,0.7264203125,14.90625,1.116490779305973,1.0020438332047643,-0.10473754341153,-1.0481800311923275,0.387875,0.0716044909555259,0.28125,0.298625,0.1122865335870691,0.53125,0.0619142552244634,0.077993990153088,0.3088,0.0861682075942165,2.65408,0.1266623606285624,16.501199999999997,1.6376686355914616,6.4,6.832,75.588,84.0,0.0,0.0,0.0639686984845823,0.2556525002345435,0.0084275473186654,0.0014855074031204,0.010819,0.054051,4.9959,0.425,0.012921,0.008195,0.054139,4.1901,0.131,0.2239,157,-61.66,-66.98,5223.3
abnormal_high_speed_20kph,abnormal,1,2,1.4303,2.14,20.0,0.0,0.80224375,0.8046374999999999,0.77975,0.7873249999999999,0.3980625,0.1278139999999999,0.2517199999999999,15.86978125,0.7060903518395769,2.96875,15.885481437709482,0.4985635849609375,17.3125,1.0898315532994465,1.0009892503540485,-0.0189512466210948,-0.9171389647590172,0.449875,0.0768469461006746,0.34375,0.34625,0.0734846922834953,0.3125,0.0673796380592831,0.083062100262394,0.2517199999999999,0.1210976531564505,2.55628,0.1504106432404303,10.540400000000002,2.0907816337437057,6.800000000000001,6.8,70.952,73.0,0.0,0.0,0.0444927589559293,0.187069371230306,0.0046304792187034,0.0010356958547115,0.014873,0.067387,4.5307,0.3907,0.01788,0.011079,0.07195,4.0241,0.3049,0.2241,166,-59.27,-64.46,5159.4
abnormal_high_speed_20kph,abnormal,1,3,2.1416,2.8531,20.0,0.0,0.91178125,0.9140125,0.8872,0.89535,0.4324374999999989,0.1184279999999999,0.22676,18.04171875,0.6404258646291057,2.5625,18.05308175193885,0.4101452880859375,19.3125,1.0697618941521714,1.0006297626887175,-0.0791392945768543,-0.8793190585125377,0.491625,0.0788353703929904,0.28125,0.37325,0.1068953927912704,0.4375,0.085631934025806,0.1040645833124795,0.22676,0.1615583560203557,2.36856,0.2789744188989377,4.338,2.5889217832912603,8.6,10.016,66.96,68.0,0.0,0.0,0.0354969431406919,0.1420319225406393,0.0059249007410267,0.0015964067023785,0.020264,0.095752,4.7252,0.2958,0.024576,0.014741,0.095779,3.8972,0.1604,0.2175,168,-53.33,-61.58,4900.1
abnormal_high_speed_20kph,abnormal,1,4,2.8558,3.5699,20.0,0.0,0.99115625,0.99385625,0.9686625,0.975825,0.4052499999999988,0.0998179999999999,0.18756,19.6475,0.3924278397043206,1.71875,19.65141867294509,0.1539996093749999,20.375,1.0368207660869964,1.0001993980275197,-0.3880657562321619,-0.6398938101894176,0.449875,0.0857366060968125,0.375,0.360625,0.1054028729447162,0.4375,0.1015409400192848,0.1227729102856163,0.18756,0.2064578562322102,1.99636,0.3234265765208542,-3.6584,0.8459015545558479,3.3,2.848,43.58,63.0,0.0,0.0,0.0199734235757384,0.0874793230690927,0.0053646964216677,0.0024186065384285,0.026464,0.127776,4.8282,0.5804,0.031146,0.020752,0.132593,4.2572,0.2073,0.2311,135,-52.17,-61.18,4684.2
abnormal_high_speed_20kph,abnormal,1,5,3.5715,4.2817,20.0,0.0,1.00031875,1.0027125,0.9793375,0.98696875,0.3672500000000021,0.100042,0.1734,19.8466875,0.2654873981825691,1.6875,19.84846312139179,0.07048355859375,20.65625,1.0406976516504172,1.0000894164984646,0.1440018534446319,0.3911390208103125,0.419625,0.2739554309098471,1.84375,0.314875,0.2126429298730621,1.0,0.2705480837577675,0.1271323744173765,0.1734,0.2424261537045869,2.00084,0.3439646702787947,-6.927999999999999,1.80783185058788,5.2,5.376,0.0,0.0,0.0,0.0,0.0133769123024972,0.0850267834367825,0.0107142781319583,0.2126429298730621,0.028346,0.139008,4.9039,1.2218,0.030826,0.025627,0.139187,4.5152,-0.1253,0.2613,117,-45.72,-61.99,4542.0
abnormal_high_speed_20kph,abnormal,1,6,4.283,4.996,20.0,0.0,0.98910625,0.99283125,0.9678375,0.9741,0.3999999999999986,0.087126,0.1836,19.619375,0.234574082114798,0.9375,19.620777262652595,0.055025,20.15625,1.0272910549306118,1.0000714223863487,0.1729573011177737,-1.0361166633095693,0.425375,0.1563420229017137,0.8125,0.374625,0.1086307535875545,0.5,0.1504568044323685,0.080525228965834,0.1836,0.0810668859646156,1.74252,0.1230822879215364,-10.198,0.3869315184887372,1.299999999999999,0.512,6.992,10.0,0.0,0.0,0.0119562464204286,0.047784396801631,0.0055369120365737,0.0155364350096616,0.024228,0.142381,5.8767,3.9306,0.023644,0.024798,0.159907,6.7631,2.1891,0.3825,94,-50.04,-62.93,4523.1
abnormal_high_speed_20kph,abnormal,1,7,5.0,5.7118,20.0,0.0,0.98264375,0.98286875,0.96218125,0.96630625,0.3702499999999986,0.079756,0.11452,19.47,0.244526807068264,1.1875,19.47153546486191,0.059793359375,20.03125,1.0287452166986484,1.0000788117505444,0.1296682757860401,-0.8360368200515156,0.40925,0.1840908403479108,1.0625,0.33125,0.1760459812094556,0.65625,0.2112723360972751,0.1032972047056453,0.11452,0.0972088967121837,1.59512,0.2369206314359304,-12.0048,0.2097068429975521,0.9000000000000004,0.832,2.832,12.0,0.0,0.0,0.0125591580415133,0.0609912686183872,0.0090419096666387,0.0621631289581411,0.034761,0.158626,4.5633,1.4288,0.038372,0.03073,0.166837,4.3479,0.1438,0.2673,79,-49.2,-63.38,4163.3
abnormal_high_speed_20kph,abnormal,1,8,5.7129,6.4229,20.0,0.0,0.96335,0.965975,0.9421,0.94775625,0.3946875000000034,0.07958,0.16964,19.09590625,0.2640509224532978,1.0,19.097731760563544,0.0697228896484375,19.625,1.02760889190602,1.000095544586579,0.2376667656090345,-1.1069671188335346,0.425,0.1599560486508716,0.6875,0.364375,0.1902927432273758,0.9375,0.2057987487814248,0.0708458934942597,0.16964,0.1553868411417131,1.5916,0.2221491390935377,-12.721600000000002,0.9864752607136176,4.200000000000001,4.384,3.052,12.0,0.0,0.0,0.0138276193335049,0.0523672449428787,0.0099651066954403,0.0623501779906211,0.02947,0.140149,4.7556,1.1258,0.033715,0.0245,0.141028,4.1829,0.3123,0.2597,100,-52.98,-62.46,4307.0
abnormal_high_speed_20kph,abnormal,1,9,6.4303,7.1399,20.0,0.0,0.9572375,0.954825,0.93546875,0.9374375,0.3915624999999956,0.042424,-0.0148399999999999,18.92484375,0.2107162612933266,0.78125,18.92601681032455,0.0444013427734375,19.28125,1.0187695157658396,1.0000619323614028,-0.0695028440874738,-1.457943186091381,0.435375,0.1319008268548761,0.46875,0.34775,0.0947427437854741,0.34375,0.0897917730084443,0.1105048782859833,-0.0148399999999999,0.0902805316776546,0.84848,0.3793068541431857,-25.476800000000004,3.697915867079725,11.599999999999998,15.872,12.516,15.0,0.0,0.0,0.0111343725780207,0.0412817146773008,0.0050062629333715,0.0075697302481203,0.022757,0.137048,6.0222,4.257,0.023147,0.022361,0.140476,6.0689,3.1673,0.3999,79,-49.71,-64.12,4624.8
