,t_0,t_1,t_2,t_3,t_4
speed_kph,80.0,80.0,80.0,80.0,80.0
grade_pct,0.0,0.0,0.0,0.0,0.0
slip_ratio_fl,0.81921640625,0.8070054687500001,0.8729851562500001,0.91803671875,0.9256234375
slip_ratio_fr,0.8153726562499999,0.8060429687499999,0.8730125,0.9183453125,0.92686796875
slip_ratio_rl,0.8068101562500001,0.78786328125,0.8505960937499999,0.8957953125,0.9046828125
slip_ratio_rr,0.79876171875,0.78872890625,0.853765625,0.9002281249999999,0.91033203125
slip_diff_front_rear,1.1606874999999943,1.4582500000000067,1.66543750000001,1.6143437500000033,1.499062500000008
norm_yaw_rate,2.1022522500000003,1.72230275,1.42904175,1.6087789999999995,1.7917557499999996
norm_lat_accel,16.94694,-8.681299999999998,-8.84418,-8.899659999999999,-8.95076
sensor_1,0.0,0.0,0.0,0.0,0.0
sensor_2,1.0,1.0,1.0,0.0,0.0
sensor_3,0.0,0.0,0.0,1.0,1.0
sensor_4,0.0,0.0,0.0,0.0,0.0
mean,75.539375,71.747375,71.493625,74.4336875,72.20375
peak,76.46875,76.78125,78.0,75.28125,75.53125
p2p,3.3125,8.59375,10.0625,1.9375,13.5625
rms,75.54298993371258,71.82492032496451,71.5599391736134,74.43495197937509,72.32642222288132
std,0.7390214708484455,3.336669042154915,3.080012806893017,0.4338678649298078,4.210681358165208
variance,0.5461527343749998,11.133360296875,9.486478890625,0.1882413242187499,17.729837500000002
crest_factor,1.0122547448426351,1.0690057107284086,1.0899953367870003,1.0113696321166354,1.0443106084695115
shape_factor,1.0000478549592522,1.0010808106214966,1.0009275536610909,1.0000169879985468,1.0016989730156858
clearance_factor,8.79827024327641,9.06467358621669,9.224884635824576,8.725735701699644,8.888874922339962
np4,1.0003778301229969,1.0087589745183505,1.007596390813117,1.0001357778913982,1.0125475797710757
skew,-1.3272345677174382,0.3590213599228958,0.6188387591214742,-0.1508926064449529,-1.2523503973755663
kurt,0.7059493100315262,-1.7219033586852597,-1.1807455561902165,-0.692498086607618,0.0085031812439968
rel_diff_fl_rl_mean,0.0234223845058995,0.0187731072864611,0.0202078091997194,0.0220566193894708,0.0191062879558879
rel_diff_fl_rl_std,0.0044252700324696,0.0077697696643652,0.0068535070904471,0.0046930065068923,0.0073101168093846
rel_diff_fl_rl_p2p,0.0246577811335392,0.0824805835441618,0.0569420573779775,0.0249990019148485,0.0456717148503545
rel_diff_fr_rr_mean,0.0189363400535705,0.0226005573441167,0.0234645417527017,0.020522513971963,0.0209245392452133
rel_diff_fr_rr_std,0.0031371345217089,0.0057358487570804,0.0047336301311111,0.0037182943215232,0.0057053114665768
rel_diff_fr_rr_p2p,0.0183888537267072,0.0539633605102761,0.0481138314279034,0.0287488522020758,0.0521346933669141
rel_diff_fl_fr_std,0.0038389207112322,0.0079818686469897,0.0055521960925706,0.0056489764731579,0.0071812671447106
rel_diff_rl_rr_std,0.0051756542074149,0.005402594725327,0.0071245619051831,0.0078277415051536,0.0052092375909071
norm_rolling_var_mean,6.304584369427974e-06,6.100746304228302e-05,3.064183313979808e-05,1.2520537348244362e-05,8.746501958650174e-05
norm_rolling_var_max,1.4350416614334378e-05,0.0003384244104788,0.0001076122567558,1.970093206793838e-05,0.0002761597855086
norm_p2p,0.0443004203416129,0.1206497897587474,0.1421344377961919,0.0258323019786768,0.1869955117457913
norm_rms,1.0102901759775698,1.0083678879005968,1.0107956991971412,0.9924264037674972,0.9972141077463494
norm_std,0.0098834601660568,0.0468443250537322,0.0435056783813972,0.0057846739126248,0.0580555587368528
norm_fft_peak_freq,0.0090978698808715,0.0095506211490775,0.0096090662362023,0.0090700390880279,0.009379489347071
log_norm_fft_spectral_energy,6.23699334073943,6.2321620532007005,6.237114789533772,6.201415151085926,6.209345311767882
fft_spectral_entropy,0.00085561747958,0.0134921808373767,0.0121975920333944,0.0003295148275335,0.0216557096202773
norm_fft_spectral_centroid,4.462267436711454e-06,3.796117615960172e-05,2.7660193859795336e-05,7.978354809861496e-06,6.202902316556522e-05
fft_energy_low_band,4.834525755568815e-06,3.597568864710859e-05,2.80853328265623e-05,6.56291981129875e-06,8.069844087164582e-05
fft_energy_mid_band,0.0,0.0,0.0,0.0,0.0
fft_energy_high_band,0.0,0.0,0.0,0.0,0.0
