time,data
0.73304,"[0, 94, 0, 128, 131, 22, 0, 0]"
0.74104,"[0, 94, 0, 128, 2, 22, 0, 0]"
0.75104,"[0, 94, 0, 128, 2, 21, 0, 0]"
0.75618,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.76212,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.77104,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.77617,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.78009,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.79004,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.79709,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.80708,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.81304,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.82405,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.83209,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.8391,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.84509,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.85405,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.86011,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.86811,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.87305,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.88212,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.88613,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.89505,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.90309,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.91205,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.91605,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.92028,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.92805,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.9371,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.9441,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.95109,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.9571,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.96905,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.97705,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.98614,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.99106,"[0, 94, 0, 128, 2, 20, 0, 0]"
0.9971,"[0, 94, 0, 128, 2, 20, 0, 0]"
