time,lat_accel,yaw_rate
0.01004,0.34999999999999964,1.6699999999999946
0.01803,0.33999999999999986,1.6400000000000006
0.02707,0.27999999999999936,1.6699999999999946
0.03404,0.20999999999999908,1.6899999999999977
0.04204,0.14000000000000057,1.6999999999999957
0.05,0.16000000000000014,1.7199999999999989
0.058,0.25,1.7299999999999969
0.06404,0.3100000000000005,1.7100000000000009
0.07508,0.25,1.6599999999999966
0.08307,0.16000000000000014,1.5899999999999963
0.095,0.08000000000000007,1.519999999999996
0.104,0.08999999999999986,1.4899999999999949
0.11204,0.17999999999999972,1.5599999999999952
0.12004,0.23000000000000043,1.6000000000000014
0.13001,0.22000000000000064,1.5899999999999963
0.13707,0.17999999999999972,1.6099999999999994
0.14605,0.1899999999999995,1.6000000000000014
0.15301,0.22000000000000064,1.5799999999999983
0.16401,0.23000000000000043,1.5599999999999952
0.17201,0.23000000000000043,1.5399999999999991
0.18401,0.23000000000000043,1.5599999999999952
0.19201,0.22000000000000064,1.6499999999999986
0.20005,0.20999999999999908,1.7399999999999949
0.20708,0.2400000000000002,1.75
0.21601,0.28999999999999915,1.7399999999999949
0.22308,0.2699999999999996,1.75
0.23205,0.1999999999999993,1.6899999999999977
0.23908,0.16000000000000014,1.6199999999999974
0.25002,0.22000000000000064,1.6299999999999955
0.25805,0.3200000000000003,1.7100000000000009
0.27002,0.379999999999999,1.8099999999999952
0.27902,0.33999999999999986,1.8699999999999974
0.28806,0.25,1.8799999999999955
0.29702,0.1999999999999993,1.7999999999999972
0.30602,0.1999999999999993,1.7199999999999989
0.31307,0.25,1.6899999999999977
0.32302,0.2599999999999998,1.6999999999999957
0.32908,0.2400000000000002,1.7899999999999991
0.34006,0.2400000000000002,1.9099999999999966
0.34703,0.25,1.9399999999999977
0.35803,0.23000000000000043,1.8999999999999986
0.36603,0.16999999999999993,1.8099999999999952
0.37503,0.16000000000000014,1.6499999999999986
0.38203,0.20999999999999908,1.5
0.39003,0.2599999999999998,1.4699999999999989
0.39707,0.2599999999999998,1.5499999999999972
0.40603,0.2599999999999998,1.6999999999999957
0.41207,0.25,1.8099999999999952
0.42307,0.2400000000000002,1.8599999999999994
0.43007,0.25,1.8299999999999983
0.44303,0.29999999999999893,1.7299999999999969
0.45203,0.34999999999999964,1.6299999999999955
0.46108,0.34999999999999964,1.5700000000000003
0.47004,0.3200000000000003,1.5499999999999972
0.48004,0.33000000000000007,1.6099999999999994
0.48709,0.40000000000000036,1.7100000000000009
0.49608,0.4800000000000004,1.8099999999999952
0.50304,0.4599999999999991,1.9199999999999946
0.51404,0.3699999999999992,1.9799999999999969
0.52013,0.3100000000000005,1.9699999999999989
0.53204,0.39000000000000057,1.9699999999999989
0.54004,0.4499999999999993,2.0
0.54905,0.35999999999999943,1.9899999999999949
0.55604,0.28999999999999915,1.9399999999999977
0.56408,0.3200000000000003,1.9299999999999997
0.57208,0.3699999999999992,1.9899999999999949
0.58008,0.3699999999999992,2.0799999999999983
0.58705,0.3100000000000005,2.1400000000000006
0.59805,0.2699999999999996,2.1899999999999977
0.60605,0.2599999999999998,2.1899999999999977
0.61805,0.1899999999999995,2.1299999999999955
0.62709,0.09999999999999964,2.0700000000000003
0.63805,0.07000000000000028,1.9799999999999969
0.64609,0.15000000000000036,1.8999999999999986
0.65505,0.22000000000000064,1.8999999999999986
0.6621,0.22000000000000064,1.9399999999999977
0.67206,0.22000000000000064,1.9699999999999989
0.6781,0.1999999999999993,1.9499999999999957
0.6891,0.16999999999999993,1.8999999999999986
0.6961,0.15000000000000036,1.8399999999999963
0.70806,0.11999999999999922,1.759999999999998
0.71606,0.16999999999999993,1.7100000000000009
0.72507,0.25,1.759999999999998
0.73206,0.27999999999999936,1.8500000000000014
0.74006,0.25,1.8999999999999986
0.7471,0.25,1.9499999999999957
0.75606,0.29999999999999893,1.9499999999999957
0.7621,0.33000000000000007,1.8900000000000006
0.77406,0.3200000000000003,1.7999999999999972
0.7811,0.34999999999999964,1.75
0.7931,0.41000000000000014,1.7299999999999969
0.80212,0.4299999999999997,1.7399999999999949
0.81207,0.41000000000000014,1.8599999999999994
0.82007,0.40000000000000036,2.0
0.82907,0.379999999999999,2.1099999999999994
0.83611,0.3100000000000005,2.1599999999999966
0.84511,0.2699999999999996,2.0899999999999963
0.85207,0.25,2.030000000000001
0.86307,0.2599999999999998,2.030000000000001
0.87011,0.27999999999999936,2.059999999999995
0.88111,0.2599999999999998,2.1099999999999994
0.88911,0.1899999999999995,2.1599999999999966
0.89811,0.14000000000000057,2.1599999999999966
0.90511,0.15000000000000036,2.1099999999999994
0.91408,0.16999999999999993,2.019999999999996
0.92111,0.16999999999999993,1.9099999999999966
0.93008,0.16000000000000014,1.8599999999999994
0.93612,0.15000000000000036,1.8500000000000014
0.94812,0.15000000000000036,1.8599999999999994
0.95608,0.16999999999999993,1.9399999999999977
0.96712,0.1999999999999993,2.009999999999998
0.97708,0.22000000000000064,2.030000000000001
0.98612,0.20999999999999908,2.009999999999998
0.99508,0.16000000000000014,1.9499999999999957
