time,steering_angle,steering_speed
0.00299,4.4,0.0
0.01199,4.4,0.0
0.02105,4.4,0.0
0.02804,4.4,0.0
0.037,4.5,0.0
0.04304,4.5,0.0
0.05204,4.5,0.0
0.05899,4.5,0.0
0.069,4.5,0.0
0.077,4.5,0.0
0.08704,4.5,0.0
0.09705,4.5,0.0
0.108,4.5,0.0
0.114,4.5,0.0
0.124,4.5,0.0
0.131,4.7,8.0
0.141,4.7,8.0
0.14705,4.7,0.0
0.15705,4.7,0.0
0.16505,4.800000000000001,0.0
0.176,4.800000000000001,0.0
0.18505,5.0,8.0
0.19405,5.0,8.0
0.20106,5.0,0.0
0.21001,5.1000000000000005,0.0
0.21701,5.1000000000000005,0.0
0.22605,5.4,12.0
0.23305,5.4,12.0
0.24306,5.5,0.0
0.25201,5.5,0.0
0.26201,5.7,8.0
0.27206,5.7,8.0
0.28301,6.0,12.0
0.29006,6.0,12.0
0.30002,6.300000000000001,12.0
0.30702,6.5,24.0
0.31707,6.5,8.0
0.32402,6.800000000000001,12.0
0.33402,6.800000000000001,12.0
0.34106,7.0,8.0
0.35007,7.1000000000000005,12.0
0.35907,7.1000000000000005,0.0
0.36902,7.300000000000001,8.0
0.37602,7.300000000000001,8.0
0.38407,7.5,8.0
0.39103,7.5,8.0
0.40006,7.6000000000000005,0.0
0.40703,7.6000000000000005,0.0
0.41703,7.800000000000001,8.0
0.42503,7.800000000000001,8.0
0.43408,7.9,0.0
0.44508,7.9,0.0
0.45603,7.9,0.0
0.46308,8.0,0.0
0.47303,8.0,0.0
0.48103,8.200000000000001,8.0
0.49103,8.200000000000001,8.0
0.49708,8.200000000000001,0.0
0.50709,8.200000000000001,0.0
0.51504,8.200000000000001,0.0
0.52404,8.200000000000001,0.0
0.53309,8.200000000000001,0.0
0.54304,8.200000000000001,0.0
0.55004,8.200000000000001,0.0
0.55809,8.200000000000001,0.0
0.56508,8.200000000000001,0.0
0.57508,8.200000000000001,0.0
0.58109,8.200000000000001,0.0
0.59109,8.200000000000001,0.0
0.60004,8.200000000000001,0.0
0.61005,8.200000000000001,0.0
0.62105,8.200000000000001,0.0
0.6311,8.200000000000001,0.0
0.64005,8.200000000000001,0.0
0.6491,8.200000000000001,0.0
0.65605,8.200000000000001,0.0
0.66606,8.200000000000001,0.0
0.67305,8.200000000000001,0.0
0.68305,8.200000000000001,0.0
0.6901,8.200000000000001,0.0
0.70005,8.200000000000001,0.0
0.70911,8.200000000000001,0.0
0.71905,8.3,0.0
0.72605,8.3,0.0
0.7341,8.3,0.0
0.74106,8.3,0.0
0.75009,8.4,0.0
0.75706,8.4,0.0
0.76706,8.4,0.0
0.7751,8.4,0.0
0.78511,8.4,0.0
0.79606,8.4,0.0
0.80612,8.4,0.0
0.81311,8.4,0.0
0.82306,8.4,0.0
0.83006,8.4,0.0
0.84006,8.4,0.0
0.84611,8.4,0.0
0.85616,8.4,0.0
0.86407,8.4,0.0
0.87311,8.4,0.0
0.88307,8.4,0.0
0.89212,8.4,0.0
0.89911,8.4,0.0
0.90812,8.4,0.0
0.91507,8.4,0.0
0.92411,8.4,0.0
0.93107,8.4,0.0
0.94112,8.4,0.0
0.94912,8.4,0.0
0.95912,8.4,0.0
0.97008,8.4,0.0
0.98012,8.4,0.0
0.98808,8.200000000000001,8.0
0.99713,8.0,20.0
